manager,score,base_scoring,boost_scoring,win_loss_scoring,standout_scoring,standout_tally
Grant,1033.58,533.58,400.0,100.0,0.0,0
Carson,992.4,557.64,400.0,0.0,34.76,1
Elle,974.59,517.18,400.0,25.0,32.41,1
Brayden,961.68,482.38,400.0,50.0,29.3,1
Jared,944.92,494.92,400.0,50.0,0.0,0
Josh,880.7,480.7,400.0,0.0,0.0,0
Sarah,802.37,495.8,300.0,-25.0,31.57,1
Micayla,749.94,499.94,300.0,-50.0,0.0,0
Jacob,669.82,469.82,200.0,0.0,0.0,0
Colby,605.7,455.7,200.0,-50.0,0.0,0
Ginger,575.18,375.18,200.0,0.0,0.0,0
Jed,480.1,380.1,200.0,-100.0,0.0,0
