manager,score,base_scoring,boost_scoring,win_loss_scoring,standout_scoring,standout_tally
Gmkabler,1258.3,654.26,400.0,100.0,104.04,3
JDWarren042,1047.05,563.46,400.0,50.0,33.59,1
CommishSchaffer,1007.96,557.96,400.0,50.0,0.0,0
BigJedd,985.42,535.42,400.0,50.0,0.0,0
CoomCrusaders,976.06,526.06,400.0,50.0,0.0,0
chrisdubstevens,830.66,480.66,400.0,-50.0,0.0,0
jwarren64,815.76,465.76,400.0,-50.0,0.0,0
Cashmoneycar,803.32,503.32,300.0,0.0,0.0,0
EliteE,767.82,517.82,300.0,-50.0,0.0,0
mstika,756.06,506.06,300.0,-50.0,0.0,0
gkabler,727.34,477.34,300.0,-50.0,0.0,0
Glasseschandy,719.4,469.4,300.0,-50.0,0.0,0
